Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Product Notes
1,"PCA9685PW,118",NXP USA Inc.,IC LED DRVR LIN PWM 25MA 28TSSOP,"5,220",In Stock,,1,1,Cut Tape (CT),568-11925-1-ND,4.38000,$4.38,1,
2,BSS138K-13,Diodes Incorporated,MOSFET N-CH 50V 310MA SOT23,"391,114",In Stock,,2,2,Cut Tape (CT),BSS138K-13DICT-ND,0.45000,$0.90,1,
3,RC1206FR-0710KL,YAGEO,RES 10K OHM 1% 1/4W 1206,"3,244,021",In Stock,,4,4,Cut Tape (CT),311-10.0KFRCT-ND,0.15000,$0.60,1,
4,CL31B104KCFNNNE,Samsung Electro-Mechanics,CAP CER 0.1UF 100V X7R 1206,"160,683",In Stock,,1,1,Cut Tape (CT),1276-1151-1-ND,0.17000,$0.17,1,
5,C3216X7R1H105K160AB,TDK Corporation,CAP CER 1UF 50V X7R 1206,"517,312",In Stock,,1,1,Cut Tape (CT),445-1423-1-ND,0.36000,$0.36,1,
6,UUD1C101MCL1GS,Nichicon,CAP ALUM 100UF 20% 16V SMD,"347,440",In Stock,,1,1,Cut Tape (CT),493-2262-1-ND,0.48000,$0.48,1,
7,CRG1206F470R,TE Connectivity Passive Product,RES SMD 470 OHM 1% 1/4W 1206,"558,952",In Stock,,1,1,Cut Tape (CT),A106077CT-ND,0.15000,$0.15,1,
8,HSMS-C150,Broadcom Limited,LED RED DIFFUSED CHIP SMD,"52,865",In Stock,,1,1,Cut Tape (CT),516-1440-1-ND,0.60000,$0.60,1,
9,TSW-108-07-G-T,Samtec Inc.,CONN HEADER VERT 24POS 2.54MM,"1,074",In Stock,,2,2,Bulk,SAM10855-ND,3.68000,$7.36,1,
10,61300311121,Würth Elektronik,CONN HEADER VERT 3POS 2.54MM,"162,673",In Stock,,1,1,Bag,732-5316-ND,0.19000,$0.19,1,
11,1935161,Phoenix Contact,TERM BLK 2POS SIDE ENTRY 5MM PCB,"139,466",In Stock,,1,1,Bulk,277-1667-ND,0.73000,$0.73,1,
12,PRT-11417,SparkFun Electronics,ARDUINO STACKABLE HEADER KIT - R,"1,510",In Stock,,1,1,Bulk,1568-1413-ND,2.54000,$2.54,1,
