Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Product Notes
1,NJVMJB42CT4G,onsemi,TRANS PNP 100V 6A D2PAK,40,In Stock,,2,2,Cut Tape (CT),NJVMJB42CT4GOSCT-ND,2.34000,$4.68,1,
2,NJVMJB41CT4G,onsemi,TRANS NPN 100V 6A D2PAK-3,"1,354",In Stock,,2,2,Cut Tape (CT),NJVMJB41CT4GOSCT-ND,1.89000,$3.78,1,
3,DMP6180SK3-13,Diodes Incorporated,MOSFET P-CH 60V 14A TO252,"23,028",In Stock,,1,1,Cut Tape (CT),DMP6180SK3-13DICT-ND,0.87000,$0.87,1,
4,NE5532DR,Texas Instruments,IC OPAMP GP 2 CIRCUIT 8SOIC,"79,448",In Stock,,3,3,Cut Tape (CT),296-13622-1-ND,0.84000,$2.52,1,
5,RCJ-2223,CUI Devices,CONN RCA JACK MONO 3.2MM R/A,"5,107",In Stock,,1,1,Box,CP-1435-ND,2.66000,$2.66,1,
6,1935161,Phoenix Contact,TERM BLK 2POS SIDE ENTRY 5MM PCB,"139,466",In Stock,,3,3,Bulk,277-1667-ND,0.73000,$2.19,1,
7,PTD902-2015K-B103,Bourns Inc.,POT 10K OHM 1/20W CARBON LINEAR,"1,628",In Stock,,1,1,Tray,PTD902-2015K-B103-ND,4.23000,$4.23,1,
8,CL31B105KBHSNNE,Samsung Electro-Mechanics,CAP CER 1UF 50V X7R 1206,"328,002",In Stock,,10,10,Cut Tape (CT),1276-3093-1-ND,0.21100,$2.11,1,
9,UCM1H100MCL1GS,Nichicon,CAP ALUM 10UF 20% 50V SMD,"2,853",In Stock,,1,1,Cut Tape (CT),493-17475-1-ND,0.68000,$0.68,1,
10,HSMS-C150,Broadcom Limited,LED RED DIFFUSED CHIP SMD,"52,865",In Stock,,1,1,Cut Tape (CT),516-1440-1-ND,0.60000,$0.60,1,
11,CRM2512-JW-1R0ELF,Bourns Inc.,RES SMD 1 OHM 5% 2W 2512,"194,601",In Stock,,4,4,Cut Tape (CT),CRM2512-JW-1R0ELFCT-ND,0.76000,$3.04,1,
12,EEE-FK1H330XP,Panasonic Electronic Components,CAP ALUM 33UF 20% 50V SMD,"34,088",In Stock,,4,4,Cut Tape (CT),PCE3814CT-ND,0.94000,$3.76,1,
13,CRGCQ1206F22K,TE Connectivity Passive Product,RES 22K OHM 1% 1/4W 1206,"519,416",In Stock,,10,10,Cut Tape (CT),A129826CT-ND,0.06700,$0.67,1,
14,RC1206FR-0710KL,YAGEO,RES 10K OHM 1% 1/4W 1206,"3,244,021",In Stock,,10,10,Cut Tape (CT),311-10.0KFRCT-ND,0.05900,$0.59,1,
15,RC1206FR-07220KL,YAGEO,RES 220K OHM 1% 1/4W 1206,6,In Stock,,10,10,Cut Tape (CT),311-220KFRCT-ND,0.05900,$0.59,1,
16,RK73H2BTTD3001F,"KOA Speer Electronics, Inc.",RES 3K OHM 1% 1/4W 1206,"192,712",In Stock,,10,10,Cut Tape (CT),2019-RK73H2BTTD3001FCT-ND,0.05300,$0.53,1,
17,RC1206FR-0710KL,YAGEO,RES 10K OHM 1% 1/4W 1206,"3,244,021",In Stock,,10,10,Cut Tape (CT),311-10.0KFRCT-ND,0.05900,$0.59,1,
18,RC1206FR-07100KL,YAGEO,RES 100K OHM 1% 1/4W 1206,"2,687,510",In Stock,,10,10,Cut Tape (CT),311-100KFRCT-ND,0.05900,$0.59,1,
19,RK73H2BTTD2401F,"KOA Speer Electronics, Inc.",RES 2.4K OHM 1% 1/4W 1206,"47,414",In Stock,,10,10,Cut Tape (CT),2019-RK73H2BTTD2401FCT-ND,0.05300,$0.53,1,
20,MMSZ5240B,Good-Ark Semiconductor,"DIODE, ZENER, 0.5W, 10V, SOD-123","4,643",In Stock,,1,1,Cut Tape (CT),4786-MMSZ5240BCT-ND,0.17000,$0.17,1,"Non Cancellable Non Returnable. "
21,35TLV1000M16X16.5,Rubycon,CAP ALUM 1000UF 20% 35V SMD,"2,873",In Stock,,3,3,Cut Tape (CT),1189-2109-1-ND,3.54000,$10.62,1,
22,1N4148W-TP,Micro Commercial Co,DIODE GEN PURP 100V 150MA SOD123,"5,996,660",In Stock,,4,4,Cut Tape (CT),1N4148WTPMSCT-ND,0.17000,$0.68,1,
23,PJ-102AH,CUI Devices,CONN PWR JACK 2X5.5MM SOLDER,"72,658",In Stock,,1,1,Tray,CP-102AH-ND,1.02000,$1.02,1,
24,SJ1-3533NG,CUI Devices,CONN JACK STEREO 3.5MM R/A,"387,631",In Stock,,1,1,Tray,CP1-3533NG-ND,1.95000,$1.95,1,
25,573300D00010G,"Boyd Laconia, LLC","HEATSINK D2PAK .4"" HIGH SMD","6,115",In Stock,,4,4,Cut Tape (CT),HS338CT-ND,1.39000,$5.56,1,
