Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Image
1,NJVMJB42CT4G,onsemi,TRANS PNP 100V 6A D2PAK,"1,076",In Stock,,2,2,Cut Tape (CT),NJVMJB42CT4GOSCT-ND,2.23000,$4.46,1,,NJVMJB42CT4GOSCT-ND,18,https://www.onsemi.com/pdf/datasheet/mjb41c-d.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8541.29.0095,Malaysia,https://www.onsemi.com/PowerSolutions/MaterialComposition.do?export=pdf&opnId=NJVMJB42CT4G|https://www.onsemi.com/site/pdf/RoHS-statement.pdf,NJVMJB42CT4GOSCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4955/488;418B-04;B;3.jpg
2,NJVMJB41CT4G,onsemi,TRANS NPN 100V 6A D2PAK-3,"2,687",In Stock,,2,2,Cut Tape (CT),NJVMJB41CT4GOSCT-ND,1.87000,$3.74,1,,NJVMJB41CT4GOSCT-ND,12,https://www.onsemi.com/pdf/datasheet/mjb41c-d.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8541.29.0095,Malaysia,https://www.onsemi.com/PowerSolutions/MaterialComposition.do?export=pdf&opnId=NJVMJB41CT4G|https://www.onsemi.com/site/pdf/REACH-compliance-statement.pdf|https://www.onsemi.com/site/pdf/RoHS-statement.pdf,NJVMJB41CT4GOSCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4955/488;418B-04;B;3.jpg
3,DMP6180SK3-13,Diodes Incorporated,MOSFET P-CH 60V 14A TO252,480,In Stock,,1,1,Cut Tape (CT),DMP6180SK3-13DICT-ND,0.86000,$0.86,1,,DMP6180SK3-13DICT-ND,16,https://www.diodes.com/assets/Datasheets/DMP6180SK3.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8541.29.0095,China,https://www.diodes.com/assets/Quality-Reliability-Docs/Master_CofC.pdf,DMP6180SK3-13DICT-ND,"https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2534/MFG_TO-252-3,D-Pak,SC-63.jpg"
4,NE5532DR,Texas Instruments,IC OPAMP GP 2 CIRCUIT 8SOIC,"111,966",In Stock,,3,3,Cut Tape (CT),296-13622-1-ND,0.83000,$2.49,1,,296-13622-1-ND,6,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fne5532,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8542.33.0001,Mexico,,296-13622-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/296_8-SOIC.jpg
5,1N4148WX-TP,Micro Commercial Co,DIODE GEN PURP 75V 150MA SOD323,"2,168,058",In Stock,,4,4,Cut Tape (CT),1N4148WXTPMSCT-ND,0.14000,$0.56,1,,1N4148WXTPMSCT-ND,10,https://www.mccsemi.com/pdf/Products/1N4148WX(SOD-323).pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8541.10.0070,China,https://www.mccsemi.com/pdf/pbfree/Certification%20of%20Compliance%20of%20CaliforniaProposition65.pdf|https://www.mccsemi.com/pdf/pbfree/Certification%20of%20REACH%20Compliance.pdf|https://www.mccsemi.com/pdf/pbfree/Certification%20of%20RoHS%20Compliance.pdf,1N4148WXTPMSCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5345/MFG_1N4148WX-TP.jpg
6,RCJ-2223,CUI Devices,CONN RCA JACK MONO 3.2MM R/A,735,In Stock,,1,1,Box,CP-1435-ND,2.63000,$2.63,1,,CP-1435-ND,13,https://www.cuidevices.com/product/resource/rcj-22xx.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8536.69.4040,China,https://www.cuidevices.com/product/resource/material-compliance/rcj-22-series,CP-1435-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1092/RCJ-2223.jpg
7,1935161,Phoenix Contact,TERM BLK 2POS SIDE ENTRY 5MM PCB,"183,274",In Stock,,3,3,Bulk,277-1667-ND,0.73000,$2.19,1,,277-1667-ND,12,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/909/1935161.pdf,,May apply on shipments to the U.S.,,Active,RoHS Compliant,1  (Unlimited),EAR99,8536.69.4040,China,https://www.phoenixcontact.com/online/portal/us?1dmy&urile=wcm%3apath%3a/usen/web/main/service_and_support/application_pages/Product_Compliance/Product_Compliance,277-1667-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/819/1935161.jpg
8,PTD902-2015K-B103,Bourns Inc.,POT 10K OHM 1/20W CARBON LINEAR,"2,389",In Stock,,1,1,Tray,PTD902-2015K-B103-ND,4.19000,$4.19,1,,PTD902-2015K-B103-ND,14,https://www.bourns.com/docs/Product-Datasheets/PTD90.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,Not Applicable,EAR99,8533.40.8070,China,https://www.bourns.com/docs/rohs-content/bourns-reach-letter.pdf|https://www.bourns.com/docs/Product-MDS/ptd902_mds.pdf|https://www.bourns.com/docs/rohs-cofc/pc1_coc.pdf?sfvrsn=cf7e2294_6,PTD902-2015K-B103-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2587/PTD902-xxxxK Series.JPG
9,CL31B105KBHSNNE,Samsung Electro-Mechanics,CAP CER 1UF 50V X7R 1206,"455,834",In Stock,,10,10,Cut Tape (CT),1276-3093-1-ND,0.22000,$2.20,1,,1276-3093-1-ND,22,https://www.samsungsem.com/kr/support/product-search/mlcc/CL31B105KBHSNNE.jsp,,-,Need only 8 but bulk buying 10 is cheaper,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.24.0020,Philippines,https://www.samsungsem.com/files/fileDown.do?key=ed1dfdfa-645e-4252-b707-17f9b1502dd1|https://www.samsungsem.com/global/support/certificate/product-stewardship.do,1276-3093-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2537/Ceramic-Capacitor-CL-Series.jpg
10,UCM1H100MCL1GS,Nichicon,CAP ALUM 10UF 20% 50V SMD,"4,638",In Stock,,1,1,Cut Tape (CT),493-17475-1-ND,0.68000,$0.68,1,,493-17475-1-ND,25,https://www.nichicon.co.jp/english/products/pdfs/e-ucm.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.22.0020,Malaysia,https://products.nichicon.co.jp/en/pdf/XJA043/e-al_eco.pdf,493-17475-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2413/CD Series 5mm.jpg
