Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Product Notes
1,NJVMJB42CT4G,onsemi,TRANS PNP 100V 6A D2PAK,40,In Stock,,1,1,Cut Tape (CT),NJVMJB42CT4GOSCT-ND,2.34000,$2.34,1,
2,NJVMJB41CT4G,onsemi,TRANS NPN 100V 6A D2PAK-3,"1,354",In Stock,,1,1,Cut Tape (CT),NJVMJB41CT4GOSCT-ND,1.89000,$1.89,1,
3,DMP6180SK3-13,Diodes Incorporated,MOSFET P-CH 60V 14A TO252,"23,033",In Stock,,1,1,Cut Tape (CT),DMP6180SK3-13DICT-ND,0.87000,$0.87,1,
4,RC1206FR-07100KL,YAGEO,RES 100K OHM 1% 1/4W 1206,"2,688,280",In Stock,,1,1,Cut Tape (CT),311-100KFRCT-ND,0.15000,$0.15,1,
5,RK73H2BTTD2401F,"KOA Speer Electronics, Inc.",RES 2.4K OHM 1% 1/4W 1206,"47,414",In Stock,,1,1,Cut Tape (CT),2019-RK73H2BTTD2401FCT-ND,0.15000,$0.15,1,
6,HSMS-C150,Broadcom Limited,LED RED DIFFUSED CHIP SMD,"52,865",In Stock,,1,1,Cut Tape (CT),516-1440-1-ND,0.60000,$0.60,1,
7,RC1206FR-0710KL,YAGEO,RES 10K OHM 1% 1/4W 1206,"3,244,196",In Stock,,4,4,Cut Tape (CT),311-10.0KFRCT-ND,0.15000,$0.60,1,
8,UUD1V101MNL1GS,Nichicon,CAP ALUM 100UF 20% 35V SMD,"6,622",In Stock,,2,2,Cut Tape (CT),493-2290-1-ND,0.90000,$1.80,1,
9,CL31B104KCFNNNE,Samsung Electro-Mechanics,CAP CER 0.1UF 100V X7R 1206,"162,838",In Stock,,2,2,Cut Tape (CT),1276-1151-1-ND,0.17000,$0.34,1,
10,1935174,Phoenix Contact,TERM BLK 3POS SIDE ENTRY 5MM PCB,"64,860",In Stock,,1,1,Box,277-1578-ND,1.00000,$1.00,1,
11,1935161,Phoenix Contact,TERM BLK 2POS SIDE ENTRY 5MM PCB,"141,758",In Stock,,1,1,Bulk,277-1667-ND,0.73000,$0.73,1,
12,OPA2990IDR,Texas Instruments,IC OPAMP GP 2 CIRCUIT 8SOIC,"63,536",In Stock,,1,1,Cut Tape (CT),296-53506-1-ND,2.42000,$2.42,1,
13,MMSZ5233BT1G,onsemi,DIODE ZENER 6V 500MW SOD123,"59,208",In Stock,,1,1,Cut Tape (CT),MMSZ5233BT1GOSCT-ND,0.25000,$0.25,1,
