Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Image
1,NJVMJB42CT4G,onsemi,TRANS PNP 100V 6A D2PAK,"1,076",In Stock,,1,1,Cut Tape (CT),NJVMJB42CT4GOSCT-ND,2.23000,$2.23,1,,NJVMJB42CT4G,18,https://www.onsemi.com/pdf/datasheet/mjb41c-d.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8541.29.0095,Malaysia,https://www.onsemi.com/PowerSolutions/MaterialComposition.do?export=pdf&opnId=NJVMJB42CT4G|https://www.onsemi.com/site/pdf/RoHS-statement.pdf,NJVMJB42CT4G,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4955/488;418B-04;B;3.jpg
2,NJVMJB41CT4G,onsemi,TRANS NPN 100V 6A D2PAK-3,"2,687",In Stock,,1,1,Cut Tape (CT),NJVMJB41CT4GOSCT-ND,1.87000,$1.87,1,,NJVMJB41CT4G,12,https://www.onsemi.com/pdf/datasheet/mjb41c-d.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8541.29.0095,Malaysia,https://www.onsemi.com/PowerSolutions/MaterialComposition.do?export=pdf&opnId=NJVMJB41CT4G|https://www.onsemi.com/site/pdf/REACH-compliance-statement.pdf|https://www.onsemi.com/site/pdf/RoHS-statement.pdf,NJVMJB41CT4G,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4955/488;418B-04;B;3.jpg
3,DMP6180SK3-13,Diodes Incorporated,MOSFET P-CH 60V 14A TO252,480,In Stock,,,,,,,,,,DMP6180SK3-13,16,https://www.diodes.com/assets/Datasheets/DMP6180SK3.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8541.29.0095,China,https://www.diodes.com/assets/Quality-Reliability-Docs/Master_CofC.pdf,DMP6180SK3-13,"https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2534/MFG_TO-252-3,D-Pak,SC-63.jpg"
4,MMSZ5240B,Good-Ark Semiconductor,"DIODE, ZENER, 0.5W, 10V, SOD-123","5,893",In Stock,,1,1,Cut Tape (CT),4786-MMSZ5240BCT-ND,0.17000,$0.17,1,,4786-MMSZ5240BCT-ND,16,https://goodarksemi.com/docs/datasheets/zener_diodes/MMSZ52xxB.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8541.10.0080,China,,4786-MMSZ5240BCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4998/MFG_SMSZ4690.jpg
5,RC1206FR-07100KL,YAGEO,RES 100K OHM 1% 1/4W 1206,"3,016,012",In Stock,,1,1,Cut Tape (CT),311-100KFRCT-ND,0.15000,$0.15,1,,311-100KFRCT-ND,18,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageo.com/en/Download/Index/certificates#rchip,311-100KFRCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/Yageo-0603.jpg
6,OPA990IDBVR,Texas Instruments,IC OPAMP GP 1 CIRCUIT SOT23-5,"24,881",In Stock,,1,1,Cut Tape (CT),296-OPA990IDBVRCT-ND,1.79000,$1.79,1,,296-OPA990IDBVRCT-ND,6,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fopa990,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8542.33.0001,China,,296-OPA990IDBVRCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5347/296~4214839~DBV~5-Top-View.jpg
7,RK73H2BTTD2401F,"KOA Speer Electronics, Inc.",RES 2.4K OHM 1% 1/4W 1206,"297,631",In Stock,,1,1,Cut Tape (CT),2019-RK73H2BTTD2401FCT-ND,0.15000,$0.15,1,,RK73H2BTTD2401F,7,https://www.koaspeer.com/pdfs/RK73H.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Malaysia,https://www.koaglobal.com/-/media/Files/KOA_Global/product/common/rohs/Certificate_of_EU_REACH_SVHC_Compliance_sep2020.pdf?la=en&hash=69EBDB93EA8864F0A1BA059189D2D824|https://www.koaglobal.com/-/media/Files/KOA_Global/product/common/rohs/Certificate_of_RoHS_Compliance_sep2020.pdf?la=en&hash=B90F1D81E5C1B27E55129C49A6179E70,RK73H2BTTD2401F,"https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/320/2019;;1206(3216)-3,2x1,6x0,6.JPG"
8,HSMS-C150,Broadcom Limited,LED RED DIFFUSED CHIP SMD,"53,617",In Stock,,1,1,Cut Tape (CT),516-1440-1-ND,0.60000,$0.60,1,,HSMS-C150,14,https://docs.broadcom.com/docs/AV02-0551EN,,-,,Active,ROHS3 Compliant,2A  (4 Weeks),EAR99,8541.41.0000,Taiwan,,HSMS-C150,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2427/FIG 22 HIGHLIGHTED BLUE T052 1579.jpg
9,RC1206FR-0710KL,YAGEO,RES 10K OHM 1% 1/4W 1206,"3,983,256",In Stock,,2,2,Cut Tape (CT),311-10.0KFRCT-ND,0.15000,$0.30,1,,RC1206FR-0710KL,18,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageo.com/en/Download/Index/certificates#rchip,RC1206FR-0710KL,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/Yageo-0603.jpg
10,UUD1V101MNL1GS,Nichicon,CAP ALUM 100UF 20% 35V SMD,"3,095",In Stock,,2,2,Cut Tape (CT),493-2290-1-ND,0.89000,$1.78,1,,493-2290-1-ND,23,https://www.nichicon.co.jp/english/products/pdfs/e-uud.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.22.0020,Malaysia,,493-2290-1-ND,"https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2878/WT,UD SERIES 8.0,10.0.jpg"
