Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Product Notes
1,1N4736A,onsemi,DIODE ZENER 6.8V 1W DO41,"11,078",In Stock,,1,1,Bulk,1N4736AFS-ND,0.35000,$0.35,1,
2,PJ-102AH,Same Sky (Formerly CUI Devices),CONN PWR JACK 2X5.5MM SOLDER,"72,794",In Stock,,1,1,Tray,CP-102AH-ND,1.18000,$1.18,1,
3,SJ1-3533NG,Same Sky (Formerly CUI Devices),CONN JACK STEREO 3.5MM R/A,"371,993",In Stock,,1,1,Tray,CP1-3533NG-ND,1.93000,$1.93,1,
4,DRC-V-220K,Signal Transformer,FIXED IND 22UH 2.55A 0.07OHM TH,"2,344",In Stock,,2,2,Tray,595-DRC-V-220K-ND,1.05000,$2.10,1,
5,TSM480P06CH X0G,Taiwan Semiconductor Corporation,MOSFET P-CHANNEL 60V 20A TO251,"8,591",In Stock,,1,1,Tube,TSM480P06CHX0G-ND,0.84000,$0.84,1,
6,TPA3122D2N,Texas Instruments,IC AMP CLASS D STEREO 15W 20DIP,727,In Stock,,1,1,Tube,296-23375-5-ND,6.54000,$6.54,1,
7,EG1224,E-Switch,SWITCH SLIDE SPDT 500MA 15V,"3,699",In Stock,,1,1,Bulk,EG2585-ND,1.57000,$1.57,1,
8,35ZLH470MEFC10X16,Rubycon,CAP ALUM 470UF 20% 35V RADIAL TH,"126,014",In Stock,,5,5,Bulk,1189-1890-ND,0.66000,$3.30,1,
9,EEU-EB1H100SH,Panasonic Electronic Components,CAP ALUM 10UF 20% 50V RADIAL TH,"18,498",In Stock,,2,2,Cut Tape (CT),P19607CT-ND,0.50000,$1.00,1,
10,FG24X7R1H105KRT06,TDK Corporation,CAP CER 1UF 50V X7R RADIAL,"45,321",In Stock,,5,5,Cut Tape (CT),445-173374-1-ND,0.68000,$3.40,1,
11,FG24X7R1H224KNT00,TDK Corporation,CAP CER 0.22UF 50V X7R RADIAL,"2,533",In Stock,,2,2,Bulk,445-181749-ND,0.32000,$0.64,1,
12,FA24X7R1H684KRU06,TDK Corporation,CAP CER 0.68UF 50V X7R RADIAL,"5,778",In Stock,,2,2,Cut Tape (CT),445-180639-1-ND,0.78000,$1.56,1,
13,FG28X7R1H104KNT06,TDK Corporation,CAP CER 0.1UF 50V X7R RADIAL,"8,745",In Stock,,3,3,Cut Tape (CT),445-173588-1-ND,0.35000,$1.05,1,
14,WP7113ID,Kingbright,LED RED DIFFUSED T-1 3/4 T/H,"20,359",In Stock,,1,1,Bulk,754-1264-ND,0.52000,$0.52,1,
15,1935161,Phoenix Contact,TERM BLK 2POS SIDE ENTRY 5MM PCB,"133,880",In Stock,,1,1,Bulk,277-1667-ND,0.72000,$0.72,1,
16,1935187,Phoenix Contact,TERM BLK 4POS SIDE ENTRY 5MM PCB,"14,081",In Stock,,1,1,Bulk,277-1579-ND,1.41000,$1.41,1,
17,MFR-25FRF52-100K,YAGEO,RES 100K OHM 1% 1/4W AXIAL,"92,295",In Stock,,1,1,Cut Tape (CT),13-MFR-25FRF52-100KCT-ND,0.14000,$0.14,1,
18,MFR-25FRF52-10K,YAGEO,RES 10K OHM 1% 1/4W AXIAL,"322,046",In Stock,,3,3,Cut Tape (CT),13-MFR-25FRF52-10KCT-ND,0.14000,$0.42,1,
19,MFR-25FTE52-4K7,YAGEO,RES 4.7K OHM 1% 1/4W AXIAL,"10,556",In Stock,,2,2,Cut Tape (CT),13-MFR-25FTE52-4K7CT-ND,0.14000,$0.28,1,
20,MFR-25FBF52-2K4,YAGEO,RES 2.4K OHM 1% 1/4W AXIAL,"8,756",In Stock,,1,1,Bulk,MFR-25FBF52-2K4-ND,0.14000,$0.14,1,
21,10129378-910002BLF,Amphenol ICC (FCI),CONN HEADER VERT 10POS 2.54MM,"1,306",In Stock,,1,1,Bulk,10129378-910002BLF-ND,0.36000,$0.36,1,
22,QPC02SXGN-RC,Sullins Connector Solutions,"CONN JUMPER SHORTING .100"" GOLD","307,015",In Stock,,2,2,Bag,S9337-ND,0.14000,$0.28,1,
