Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Product Notes
1,PJ-102AH,CUI Devices,CONN PWR JACK 2X5.5MM SOLDER,"72,658",In Stock,,1,1,Tray,CP-102AH-ND,1.02000,$1.02,1,
2,EG1224,E-Switch,SWITCH SLIDE SPDT 500MA 15V,"3,297",In Stock,,1,1,Bulk,EG2585-ND,1.37000,$1.37,1,
3,DMP6180SK3Q-13,Diodes Incorporated,MOSFET P-CHANNEL 60V 14A TO252,"32,961",In Stock,,1,1,Cut Tape (CT),DMP6180SK3Q-13DICT-ND,0.94000,$0.94,1,
4,MMSZ5230BT1G,onsemi,DIODE ZENER 4.7V 500MW SOD123,"4,835",In Stock,,1,1,Cut Tape (CT),MMSZ5230BT1GOSCT-ND,0.25000,$0.25,1,
5,MMSZ5233BT1G,onsemi,DIODE ZENER 6V 500MW SOD123,"59,208",In Stock,,1,1,Cut Tape (CT),MMSZ5233BT1GOSCT-ND,0.25000,$0.25,1,
6,RC1206FR-07100KL,YAGEO,RES 100K OHM 1% 1/4W 1206,"2,687,510",In Stock,,1,1,Cut Tape (CT),311-100KFRCT-ND,0.15000,$0.15,1,
7,RC1206FR-072K4L,YAGEO,RES 2.4K OHM 1% 1/4W 1206,"162,711",In Stock,,1,1,Cut Tape (CT),311-2.40KFRCT-ND,0.15000,$0.15,1,
8,CRG1206F470R,TE Connectivity Passive Product,RES SMD 470 OHM 1% 1/4W 1206,"558,952",In Stock,,2,2,Cut Tape (CT),A106077CT-ND,0.15000,$0.30,1,
9,HSMS-C150,Broadcom Limited,LED RED DIFFUSED CHIP SMD,"52,865",In Stock,,3,3,Cut Tape (CT),516-1440-1-ND,0.60000,$1.80,1,
10,1935161,Phoenix Contact,TERM BLK 2POS SIDE ENTRY 5MM PCB,"141,498",In Stock,,1,1,Bulk,277-1667-ND,0.73000,$0.73,1,
11,PPPC221LFBN-RC,Sullins Connector Solutions,CONN HDR 22POS 0.1 GOLD PCB,"5,612",In Stock,,2,2,Tray,S7055-ND,1.92000,$3.84,1,
12,PPPC101LFBN-RC,Sullins Connector Solutions,CONN HDR 10POS 0.1 GOLD PCB,"46,794",In Stock,,1,1,Tray,S7043-ND,0.99000,$0.99,1,
13,PPPC081LFBN-RC,Sullins Connector Solutions,CONN HDR 8POS 0.1 GOLD PCB,"34,901",In Stock,,2,2,Tray,S7041-ND,0.99000,$1.98,1,
14,PPPC051LFBN-RC,Sullins Connector Solutions,CONN HDR 5POS 0.1 GOLD PCB,"26,318",In Stock,,2,2,Tray,S7038-ND,0.73000,$1.46,1,
15,PPPC061LFBN-RC,Sullins Connector Solutions,CONN HDR 6POS 0.1 GOLD PCB,"26,769",In Stock,,1,1,Tray,S7039-ND,0.78000,$0.78,1,
