Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Product Notes
1,PJ-102AH,CUI Devices,CONN PWR JACK 2X5.5MM SOLDER,"113,179",In Stock,,1,1,Tray,CP-102AH-ND,1.01000,$1.01,1,
2,EG1224,E-Switch,SWITCH SLIDE SPDT 500MA 15V,720,In Stock,,1,1,Bulk,EG2585-ND,1.36000,$1.36,1,
3,DMP6180SK3Q-13,Diodes Incorporated,MOSFET P-CHANNEL 60V 14A TO252,"32,570",In Stock,,1,1,Cut Tape (CT),DMP6180SK3Q-13DICT-ND,0.91000,$0.91,1,
4,MMSZ5230BT1G,onsemi,DIODE ZENER 4.7V 500MW SOD123,"26,510",In Stock,,1,1,Cut Tape (CT),MMSZ5230BT1GOSCT-ND,0.25000,$0.25,1,
5,RC1206FR-07100KL,YAGEO,RES 100K OHM 1% 1/4W 1206,"2,613,302",In Stock,,1,1,Cut Tape (CT),311-100KFRCT-ND,0.15000,$0.15,1,
6,RC1206FR-072K4L,YAGEO,RES 2.4K OHM 1% 1/4W 1206,"162,248",In Stock,,1,1,Cut Tape (CT),311-2.40KFRCT-ND,0.15000,$0.15,1,
7,CRG1206F470R,TE Connectivity Passive Product,RES SMD 470 OHM 1% 1/4W 1206,"556,146",In Stock,,2,2,Cut Tape (CT),A106077CT-ND,0.15000,$0.30,1,
8,HSMS-C150,Broadcom Limited,LED RED DIFFUSED CHIP SMD,"108,669",In Stock,,3,3,Cut Tape (CT),516-1440-1-ND,0.60000,$1.80,1,
9,1935161,Phoenix Contact,TERM BLK 2POS SIDE ENTRY 5MM PCB,"70,353",In Stock,,1,1,Bulk,277-1667-ND,0.72000,$0.72,1,
10,PPPC221LFBN-RC,Sullins Connector Solutions,CONN HDR 22POS 0.1 GOLD PCB,"5,428",In Stock,,2,2,Tray,S7055-ND,1.91000,$3.82,1,
11,PPPC101LFBN-RC,Sullins Connector Solutions,CONN HDR 10POS 0.1 GOLD PCB,"39,425",In Stock,,1,1,Tray,S7043-ND,0.98000,$0.98,1,
12,PPPC081LFBN-RC,Sullins Connector Solutions,CONN HDR 8POS 0.1 GOLD PCB,"34,238",In Stock,,2,2,Tray,S7041-ND,0.98000,$1.96,1,
13,PPPC051LFBN-RC,Sullins Connector Solutions,CONN HDR 5POS 0.1 GOLD PCB,"22,350",In Stock,,2,2,Tray,S7038-ND,0.72000,$1.44,1,
14,PPPC061LFBN-RC,Sullins Connector Solutions,CONN HDR 6POS 0.1 GOLD PCB,"32,250",In Stock,,1,1,Tray,S7039-ND,0.78000,$0.78,1,
15,PH1-02-UA,Adam Tech,CONN HEADER VERT 2POS 2.54MM,"124,169",In Stock,,1,1,Bag,2057-PH1-02-UA-ND,0.14000,$0.14,1,
16,QPC02SXGN-RC,Sullins Connector Solutions,"CONN JUMPER SHORTING .100"" GOLD","721,943",In Stock,,1,1,Bag,S9337-ND,0.14000,$0.14,1,
17,LSM115JE3/TR13,Microchip Technology,DIODE SCHOTTKY 15V 1A DO214BA,"142,444",In Stock,,1,1,Cut Tape (CT),150-LSM115JE3/TR13CT-ND,0.80000,$0.80,1,
